Date,Year,Month,Day,UAL_Close,DAL_Close,AAL_Close,JBLU_Close,LUV_Close,SAVE_Close
2020-12-31,2020,12,31,43.25,40.21,15.77,14.54,46.61,24.45
2020-12-30,2020,12,30,44.65,40.56,16.15,14.855,46.41,24.87
2020-12-29,2020,12,29,43.74,40.03,15.86,14.68,46.15,24.68
2020-12-28,2020,12,28,43.92,40.15,16.06,14.81,46.12,25.07
2020-12-24,2020,12,24,43.26,39.73,15.66,14.43,46.28,24.42
2020-12-23,2020,12,23,44.11,40.24,15.89,14.47,46.75,24.55
2020-12-22,2020,12,22,42.97,38.94,15.48,13.88,45.32,24.04
2020-12-21,2020,12,21,44.055,40.14,16.1,14.24,45.8,25.37
2020-12-18,2020,12,18,44.74,40.68,16.51,14.35,46.03,25.88
2020-12-17,2020,12,17,45.88,41.11,16.8,14.28,46.39,26.57
2020-12-16,2020,12,16,46.0,41.08,16.86,14.65,45.73,26.16
2020-12-15,2020,12,15,47.46,41.85,17.01,14.82,46.42,26.68
2020-12-14,2020,12,14,46.72,40.69,16.7,14.6,45.26,25.99
2020-12-11,2020,12,11,48.36,41.74,17.05,14.8,45.88,26.23
2020-12-10,2020,12,10,49.64,42.62,17.99,15.5,46.8,27.03
2020-12-09,2020,12,9,48.02,42.11,17.16,15.325,45.76,26.14
2020-12-08,2020,12,8,49.04,42.41,17.63,15.42,47.28,26.3
2020-12-07,2020,12,7,49.2,42.35,17.21,15.42,47.89,25.41
2020-12-04,2020,12,4,49.24,42.36,16.4,15.61,47.59,25.76
2020-12-03,2020,12,3,49.91,42.95,16.09,15.89,47.82,24.53
2020-12-02,2020,12,2,46.73,41.07,14.86,14.97,47.44,23.12
2020-12-01,2020,12,1,45.32,39.96,14.27,15.42,47.27,22.57
2020-11-30,2020,11,30,45.05,40.25,14.13,15.09,46.34,22.63
2020-11-27,2020,11,27,45.3,41.06,14.98,15.71,47.73,23.37
2020-11-25,2020,11,25,45.64,41.29,14.94,15.82,48.27,22.98
2020-11-24,2020,11,24,44.96,41.26,14.82,15.86,48.25,22.88
2020-11-23,2020,11,23,40.93,38.79,13.56,15.13,46.81,21.07
2020-11-20,2020,11,20,39.9,37.13,12.53,14.51,45.54,20.33
2020-11-19,2020,11,19,40.94,37.91,12.79,14.81,46.08,20.89
2020-11-18,2020,11,18,41.05,37.91,12.74,14.63,45.6,20.31
2020-11-17,2020,11,17,40.6,37.6,12.7,14.86,45.66,20.19
2020-11-16,2020,11,16,41.0,38.0,12.79,14.79,45.58,20.43
2020-11-13,2020,11,13,38.99,36.46,12.24,14.16,43.88,19.73
2020-11-12,2020,11,12,36.85,34.38,11.74,13.39,41.92,18.11
2020-11-11,2020,11,11,38.51,35.02,12.04,14.09,43.22,19.4
2020-11-10,2020,11,10,40.05,37.04,12.38,14.94,44.81,20.17
2020-11-09,2020,11,9,41.32,36.77,13.2,15.03,43.89,21.31
2020-11-06,2020,11,6,34.68,31.42,11.46,12.35,40.01,17.69
2020-11-05,2020,11,5,35.35,31.98,11.6,12.54,41.05,17.95
2020-11-04,2020,11,4,33.34,30.43,11.005,11.92,38.93,17.22
2020-11-03,2020,11,3,34.02,30.9,11.25,11.97,38.85,17.7
2020-11-02,2020,11,2,33.78,30.22,11.19,12.0,38.4,17.6
2020-10-30,2020,10,30,33.86,30.64,11.28,11.97,39.53,17.57
2020-10-29,2020,10,29,33.57,30.76,11.16,11.56,39.57,17.04
2020-10-28,2020,10,28,32.6,29.65,10.95,11.11,38.14,15.56
