Date, Close/Last, Volume, Open, High, Low
01/29/2021, $37.96, 17989710, $39.27, $39.83, $37.74
01/28/2021, $40.08, 21654010, $39.55, $40.37, $38.99
01/27/2021, $38.52, 16953390, $38.63, $39.2254, $38.1609
01/26/2021, $39.32, 10599370, $39.26, $39.64, $38.98
01/25/2021, $38.9, 15964900, $39.63, $39.75, $38.42
01/22/2021, $40, 11310060, $40, $40.27, $39.81
01/21/2021, $40.67, 11155110, $41.31, $41.43, $40.17
01/20/2021, $41.62, 11335700, $40.69, $41.77, $40.5
01/19/2021, $40.31, 11530690, $40.31, $40.65, $39.8007
01/15/2021, $39.98, 15465540, $41.67, $41.67, $39.96
01/14/2021, $41.47, 17658310, $41.21, $42.64, $41.12
01/13/2021, $40.45, 10852470, $40.01, $40.74, $39.6299
01/12/2021, $40.3, 9725010, $39.69, $40.41, $39.16
01/11/2021, $39.41, 11754900, $39.08, $39.99, $38.9
01/08/2021, $40.02, 9497467, $40.41, $40.6911, $39.765
01/07/2021, $40.23, 9136267, $40.45, $40.945, $40.21
01/06/2021, $40.38, 12881080, $39.64, $40.9, $39.54
01/05/2021, $39.55, 12317220, $38.49, $40.085, $38.45
01/04/2021, $38.73, 15123450, $40.17, $40.34, $38.3306
12/31/2020, $40.21, 8705736, $40.3, $40.74, $39.76
12/30/2020, $40.56, 8504632, $40, $40.905, $39.89
12/29/2020, $40.03, 8142801, $40.84, $40.84, $39.9
12/28/2020, $40.15, 10654380, $40.27, $40.7758, $40.01
12/24/2020, $39.73, 5176408, $40.42, $40.44, $39.605
12/23/2020, $40.24, 12659680, $39.295, $40.47, $39.18
12/22/2020, $38.94, 13519980, $40.43, $40.49, $38.84
12/21/2020, $40.14, 16976840, $39.56, $40.35, $39.16
12/18/2020, $40.68, 14312420, $40.88, $41.03, $40.28
12/17/2020, $41.11, 9656677, $41.3, $41.42, $40.61
12/16/2020, $41.08, 11010590, $41.75, $41.81, $40.66
12/15/2020, $41.85, 11453770, $41.2, $41.93, $40.1576
12/14/2020, $40.69, 12445160, $42.25, $42.38, $40.67
12/11/2020, $41.74, 12223110, $42.01, $42.43, $41.14
12/10/2020, $42.62, 10680660, $41.16, $42.75, $41.07
12/09/2020, $42.11, 16348300, $43.05, $43.48, $41.3348
12/08/2020, $42.41, 11530280, $41.95, $42.88, $41.77
12/07/2020, $42.35, 13169110, $42.4, $42.83, $41.74
12/04/2020, $42.36, 18453380, $43.2, $43.49, $42.0701
12/03/2020, $42.95, 24526760, $41.7, $43.76, $41.56
12/02/2020, $41.07, 12937350, $39.81, $41.275, $39.0582
12/01/2020, $39.96, 13223630, $40.79, $41.06, $39.92
11/30/2020, $40.25, 16732620, $40.53, $41.05, $39.35
11/27/2020, $41.06, 10516620, $41.79, $42.19, $40.775
11/25/2020, $41.29, 14588870, $40.8, $41.487, $40.05
11/24/2020, $41.26, 23817970, $40.05, $41.29, $39.41
11/23/2020, $38.79, 14802880, $37.8, $38.85, $37.43
