Date,UAL_Close,UAL_Volume,UAL_Open,UAL_High,UAL_Low,DAL_Close,DAL_Volume,DAL_Open,DAL_High,DAL_Low,AAL_Close,AAL_Volume,AAL_Open,AAL_High,AAL_Low,JBLU_Close,JBLU_Volume,JBLU_Open,JBLU_High,JBLU_Low,LUV_Close,LUV_Volume,LUV_Open,LUV_High,LUV_Low,SAVE_Close,SAVE_Volume,SAVE_Open,SAVE_High,SAVE_Low,Year,Month,Day
2020-12-31,43.25,12683980.0,44.41,44.5617,43.11,40.21,8705736.0,40.3,40.74,39.76,15.77,57891080.0,16.08,16.09,15.625,14.54,7854748.0,14.78,14.79,14.45,46.61,5305619.0,46.18,46.78,45.68,24.45,3548551.0,24.7,24.8914,24.21,2020,12,31
2020-12-30,44.65,9473270.0,43.635,44.76,43.46,40.56,8504632.0,40.0,40.905,39.89,16.15,49520150.0,15.85,16.2,15.72,14.855,6295269.0,14.65,14.92,14.59,46.41,4845590.0,46.21,46.93,46.125,24.87,3427572.0,24.62,25.34,24.56,2020,12,30
2020-12-29,43.74,9927674.0,44.45,44.6489,43.55,40.03,8142801.0,40.84,40.84,39.9,15.86,51559540.0,16.32,16.41,15.75,14.68,6338864.0,14.97,15.075,14.645,46.15,4749482.0,46.35,46.77,45.97,24.68,3917613.0,25.42,25.57,24.52,2020,12,29
2020-12-28,43.92,13693200.0,44.035,44.625,43.75,40.15,10654380.0,40.27,40.7758,40.01,16.06,61099040.0,15.97,16.46,15.91,14.81,7898702.0,14.596,14.97,14.57,46.12,5476643.0,46.87,47.17,46.11,25.07,4295602.0,24.96,25.47,24.6202,2020,12,28
2020-12-24,43.26,7230607.0,44.4,44.4165,43.01,39.73,5176408.0,40.42,40.44,39.605,15.66,31048910.0,16.04,16.04,15.53,14.43,4380075.0,14.6,14.6,14.24,46.28,2973402.0,47.0,47.09,45.81,24.42,2618194.0,24.79,24.83,24.054,2020,12,24
2020-12-23,44.11,15284730.0,43.1,44.69,43.08,40.24,12659680.0,39.295,40.47,39.18,15.89,62603760.0,15.51,16.17,15.5,14.47,8588178.0,14.039,14.585,14.0,46.75,6474189.0,45.47,47.1,45.47,24.55,3952620.0,24.2,24.93,24.2,2020,12,23
2020-12-22,42.97,16602730.0,44.65,44.79,42.43,38.94,13519980.0,40.43,40.49,38.84,15.48,75439220.0,16.34,16.38,15.45,13.88,6094378.0,14.4,14.4,13.86,45.32,4566490.0,46.0,46.15,44.98,24.04,6457531.0,25.43,25.54,24.0,2020,12,22
2020-12-21,44.055,21879090.0,43.35,44.42,42.63,40.14,16976840.0,39.56,40.35,39.16,16.1,87243770.0,15.77,16.24,15.56,14.24,8554555.0,14.005,14.285,13.88,45.8,7656946.0,44.76,46.13,44.45,25.37,7060216.0,25.0,25.48,24.54,2020,12,21
2020-12-18,44.74,16333230.0,45.75,45.95,44.56,40.68,14312420.0,40.88,41.03,40.28,16.51,74782780.0,16.735,16.735,16.29,14.35,9831798.0,14.29,14.48,14.22,46.03,8398053.0,46.22,46.34,45.66,25.88,6798564.0,26.46,26.68,25.82,2020,12,18
2020-12-17,45.88,13785020.0,46.3,46.4,45.46,41.11,9656677.0,41.3,41.42,40.61,16.8,49386340.0,16.948,16.99,16.65,14.28,16570130.0,14.67,14.73,14.226,46.39,6368733.0,45.8,46.4,45.45,26.57,5934483.0,26.34,26.96,25.9324,2020,12,17
2020-12-16,46.0,17369550.0,46.5,46.91,45.55,41.08,11010590.0,41.75,41.81,40.66,16.86,59232620.0,16.88,17.04,16.58,14.65,10120180.0,14.53,14.72,14.26,45.73,6441829.0,46.42,46.42,45.2699,26.16,8929249.0,25.81,26.61,25.17,2020,12,16
2020-12-15,47.46,16836300.0,47.195,47.56,45.8,41.85,11453770.0,41.2,41.93,40.1576,17.01,89217040.0,16.99,17.06,16.16,14.82,10700760.0,14.75,14.89,14.23,46.42,5975746.0,45.68,46.49,44.9529,26.68,6220375.0,26.3,26.829,25.575,2020,12,15
2020-12-14,46.72,15745000.0,49.604,49.65,46.7,40.69,12445160.0,42.25,42.38,40.67,16.7,88139880.0,17.52,17.81,16.68,14.6,10439540.0,15.195,15.2,14.52,45.26,6939733.0,46.58,46.6,45.24,25.99,7026502.0,26.95,27.0,25.53,2020,12,14
2020-12-11,48.36,14770640.0,49.15,49.89,47.64,41.74,12223110.0,42.01,42.43,41.14,17.05,106957300.0,17.82,17.91,16.81,14.8,14761680.0,15.28,15.365,14.555,45.88,7638023.0,46.0,46.59,45.1596,26.23,16229450.0,27.26,27.45,25.58,2020,12,11
2020-12-10,49.64,19020500.0,46.74,49.71,46.6,42.62,10680660.0,41.16,42.75,41.07,17.99,86395160.0,16.75,18.04,16.67,15.5,7127909.0,15.01,15.605,14.9501,46.8,8322932.0,45.09,46.995,45.02,27.03,6451558.0,25.4,27.2,25.2771,2020,12,10
2020-12-09,48.02,23325080.0,49.84,50.0899,46.73,42.11,16348300.0,43.05,43.48,41.3348,17.16,138508300.0,18.37,18.63,16.63,15.325,9130577.0,15.71,15.83,14.98,45.76,20733720.0,47.34,47.54,45.25,26.14,12366090.0,26.94,27.48,25.75,2020,12,9
2020-12-08,49.04,17797910.0,49.02,50.4,48.7201,42.41,11530280.0,41.95,42.88,41.77,17.63,95855350.0,17.47,17.92,17.16,15.42,8182280.0,15.25,15.611,15.17,47.28,9132133.0,47.3,47.925,47.06,26.3,7096425.0,25.29,26.33,25.14,2020,12,8
2020-12-07,49.2,22364650.0,49.28,50.3544,48.71,42.35,13169110.0,42.4,42.83,41.74,17.21,157231900.0,16.54,18.07,16.47,15.42,10124160.0,15.705,15.91,15.28,47.89,8097443.0,48.34,48.43,47.505,25.41,9366605.0,25.6,26.2146,25.16,2020,12,7
